speed =  114 ['10000001', '00000000', '00111001', '00111001']
speed =  115 ['10000001', '00000011', '00111001', '00111001']
speed =  116 ['10000001', '00000000', '00111010', '00111010']
speed =  117 ['10000001', '00000011', '00111010', '00111010']
speed =  118 ['10000001', '00000000', '00111011', '00111011']
speed =  119 ['10000001', '00000011', '00111011', '00111011']
speed =  120 ['10000001', '00000000', '00111100', '00111100']
speed =  121 ['10000001', '00000011', '00111100', '00111100']
speed =  122 ['10000001', '00000000', '00111101', '00111101']
speed =  123 ['10000001', '00000011', '00111101', '00111101']
speed =  124 ['10000001', '00000000', '00111110', '00111110']
speed =  125 ['10000001', '00000011', '00111110', '00111110']
speed =  126 ['10000001', '00000000', '00111111', '00111111']
speed =  127 ['10000001', '00000011', '00111111', '00111111']
speed =  128 ['10000001', '00000000', '01000000', '01000000']
speed =  129 ['10000001', '00000011', '01000000', '01000000']
speed =  130 ['10000001', '00000000', '01000001', '01000001']
speed =  131 ['10000001', '00000011', '01000001', '01000001']
speed =  132 ['10000001', '00000000', '01000010', '01000010']
speed =  133 ['10000001', '00000011', '01000010', '01000010']
speed =  134 ['10000001', '00000000', '01000011', '01000011']
speed =  135 ['10000001', '00000011', '01000011', '01000011']
speed =  136 ['10000001', '00000000', '01000100', '01000100']
speed =  137 ['10000001', '00000011', '01000100', '01000100']
speed =  138 ['10000001', '00000000', '01000101', '01000101']
speed =  139 ['10000001', '00000011', '01000101', '01000101']
speed =  140 ['10000001', '00000000', '01000110', '01000110']
speed =  141 ['10000001', '00000011', '01000110', '01000110']
speed =  142 ['10000001', '00000000', '01000111', '01000111']
speed =  143 ['10000001', '00000011', '01000111', '01000111']
speed =  144 ['10000001', '00000000', '01001000', '01001000']
speed =  145 ['10000001', '00000011', '01001000', '01001000']
speed =  146 ['10000001', '00000000', '01001001', '01001001']
speed =  147 ['10000001', '00000011', '01001001', '01001001']
speed =  148 ['10000001', '00000000', '01001010', '01001010']
speed =  149 ['10000001', '00000011', '01001010', '01001010']
speed =  150 ['10000001', '00000000', '01001011', '01001011']
speed =  151 ['10000001', '00000011', '01001011', '01001011']
speed =  152 ['10000001', '00000000', '01001100', '01001100']
speed =  153 ['10000001', '00000011', '01001100', '01001100']
speed =  154 ['10000001', '00000000', '01001101', '01001101']
speed =  155 ['10000001', '00000011', '01001101', '01001101']
speed =  156 ['10000001', '00000000', '01001110', '01001110']
speed =  157 ['10000001', '00000011', '01001110', '01001110']
speed =  158 ['10000001', '00000000', '01001111', '01001111']
speed =  159 ['10000001', '00000011', '01001111', '01001111']
speed =  160 ['10000001', '00000000', '01010000', '01010000']
speed =  161 ['10000001', '00000011', '01010000', '01010000']
speed =  162 ['10000001', '00000000', '01010001', '01010001']
speed =  163 ['10000001', '00000011', '01010001', '01010001']
speed =  164 ['10000001', '00000000', '01010010', '01010010']
speed =  165 ['10000001', '00000011', '01010010', '01010010']
speed =  166 ['10000001', '00000000', '01010011', '01010011']
speed =  167 ['10000001', '00000011', '01010011', '01010011']
speed =  168 ['10000001', '00000000', '01010100', '01010100']
speed =  169 ['10000001', '00000011', '01010100', '01010100']
speed =  170 ['10000001', '00000000', '01010101', '01010101']
speed =  171 ['10000001', '00000011', '01010101', '01010101']
speed =  172 ['10000001', '00000000', '01010110', '01010110']
speed =  173 ['10000001', '00000011', '01010110', '01010110']
speed =  174 ['10000001', '00000000', '01010111', '01010111']
speed =  175 ['10000001', '00000011', '01010111', '01010111']
speed =  176 ['10000001', '00000000', '01011000', '01011000']
speed =  177 ['10000001', '00000011', '01011000', '01011000']
speed =  178 ['10000001', '00000000', '01011001', '01011001']
speed =  179 ['10000001', '00000011', '01011001', '01011001']
speed =  180 ['10000001', '00000000', '01011010', '01011010']
speed =  181 ['10000001', '00000011', '01011010', '01011010']
speed =  182 ['10000001', '00000000', '01011011', '01011011']
speed =  183 ['10000001', '00000011', '01011011', '01011011']
speed =  184 ['10000001', '00000000', '01011100', '01011100']
speed =  185 ['10000001', '00000011', '01011100', '01011100']
speed =  186 ['10000001', '00000000', '01011101', '01011101']
speed =  187 ['10000001', '00000011', '01011101', '01011101']
speed =  188 ['10000001', '00000000', '01011110', '01011110']
speed =  189 ['10000001', '00000011', '01011110', '01011110']
speed =  190 ['10000001', '00000000', '01011111', '01011111']
speed =  191 ['10000001', '00000011', '01011111', '01011111']
speed =  192 ['10000001', '00000000', '01100000', '01100000']
speed =  193 ['10000001', '00000011', '01100000', '01100000']
speed =  194 ['10000001', '00000000', '01100001', '01100001']
speed =  195 ['10000001', '00000011', '01100001', '01100001']
speed =  196 ['10000001', '00000000', '01100010', '01100010']
speed =  197 ['10000001', '00000011', '01100010', '01100010']
speed =  198 ['10000001', '00000000', '01100011', '01100011']
speed =  199 ['10000001', '00000011', '01100011', '01100011']
speed =  200 ['10000001', '00000000', '01100100', '01100100']
speed =  201 ['10000001', '00000011', '01100100', '01100100']
speed =  202 ['10000001', '00000000', '01100101', '01100101']
speed =  203 ['10000001', '00000011', '01100101', '01100101']
speed =  204 ['10000001', '00000000', '01100110', '01100110']
speed =  205 ['10000001', '00000011', '01100110', '01100110']
speed =  206 ['10000001', '00000000', '01100111', '01100111']
speed =  207 ['10000001', '00000011', '01100111', '01100111']
speed =  208 ['10000001', '00000000', '01101000', '01101000']
speed =  209 ['10000001', '00000011', '01101000', '01101000']
speed =  210 ['10000001', '00000000', '01101001', '01101001']
speed =  211 ['10000001', '00000011', '01101001', '01101001']
speed =  212 ['10000001', '00000000', '01101010', '01101010']
speed =  213 ['10000001', '00000011', '01101010', '01101010']
speed =  214 ['10000001', '00000000', '01101011', '01101011']
speed =  215 ['10000001', '00000011', '01101011', '01101011']
speed =  216 ['10000001', '00000000', '01101100', '01101100']
speed =  217 ['10000001', '00000011', '01101100', '01101100']
speed =  218 ['10000001', '00000000', '01101101', '01101101']
speed =  219 ['10000001', '00000011', '01101101', '01101101']
speed =  220 ['10000001', '00000000', '01101110', '01101110']
speed =  221 ['10000001', '00000011', '01101110', '01101110']
speed =  222 ['10000001', '00000000', '01101111', '01101111']
speed =  223 ['10000001', '00000011', '01101111', '01101111']
speed =  224 ['10000001', '00000000', '01110000', '01110000']
speed =  225 ['10000001', '00000011', '01110000', '01110000']
speed =  226 ['10000001', '00000000', '01110001', '01110001']
speed =  227 ['10000001', '00000011', '01110001', '01110001']
speed =  228 ['10000001', '00000000', '01110010', '01110010']
speed =  229 ['10000001', '00000011', '01110010', '01110010']
speed =  230 ['10000001', '00000000', '01110011', '01110011']
